title,company,location,salary,email,description,requirements
Senior Software Engineer,Google LLC,Bangalore India,$130000/year,careers@google.com,"We are looking for an experienced engineer to join our cloud platform team. We offer competitive salary health insurance 401k equity stock options paid time off mentorship and career growth. Agile sprint-based environment with annual leave and performance reviews.","5+ years Python TypeScript distributed systems. Strong team collaboration."
Data Entry Agent,FastCash Inc,anywhere,$5000 per week,hire@gmail.com,"No experience required. Work from home. Earn $ 5000 per week guaranteed. Unlimited income. Same day pay. WhatsApp only for contact. No interview needed. Pay a fee to begin training. Financial freedom. Be your own boss.","No skills needed. Training provided free."
Product Manager,Microsoft India,Hyderabad India,$120000/year,jobs@microsoft.com,"Lead product strategy for our Azure platform. Collaborate with cross-functional teams in an agile environment. Competitive salary benefits equity stock options health insurance paid time off mentorship and professional development.","5+ years product management. MBA preferred."
Work From Home Typist,XYZ Solutions,any location,uncapped earnings,typist@yahoo.com,"Urgent hiring. Immediate start. No interview required. Earn unlimited income processing fee waived for first applicants. Passive income guaranteed. Be your own boss. Contact via telegram only.","No experience required. No skills needed."
Machine Learning Engineer,Amazon,Chennai India,$140000/year,ml-careers@amazon.com,"Join our AI research team building next-generation recommendation systems. We offer competitive salary 401k pto equity career growth annual leave and performance reviews. Collaborative agile team with mentorship programs.","3+ years ML Python TensorFlow PyTorch."
Earn Money Fast Online,EasyIncome Ltd,,earn $ 500 daily,money@hotmail.com,"Make money fast from home. No experience required. Guaranteed income every day. Multi-level marketing opportunity. Pyramid structure with uncapped earnings. Same day pay. Send money via bitcoin to activate account.","No skills needed. Training provided free."
Frontend Developer,Infosys,Pune India,$90000/year,talent@infosys.com,"Build scalable web applications for our enterprise clients. Competitive salary health insurance paid time off annual leave performance review and career growth opportunities. Team-based agile development environment.","3+ years React TypeScript. Good collaboration skills."
Recruitment Agent,QuickHire,remote,per week guaranteed,agent@outlook.com,"Urgent hiring. No interview process. Immediate start. Work from home. Earn $ 2000 per week guaranteed. WhatsApp only — no calls. Registration fee required before starting. Easy money for simple tasks.",""
Data Scientist,Flipkart,Bangalore India,$110000/year,ds-jobs@flipkart.com,"Apply ML models to improve our recommendation engine. We offer benefits health insurance 401k pto equity stock options and competitive salary. Annual leave mentorship professional development and performance reviews included.","3+ years data science Python sklearn SQL."
Make Money Online,HomeCash,,unlimited income,cash@aol.com,"No experience required. Work from home. Make money fast. Unlimited income potential. Multi-level opportunity. Be your own boss. Financial freedom. Passive income. Same day pay. Earn $ from home. No interview. Send money to start.","No skills needed."
DevOps Engineer,TCS,Mumbai India,$85000/year,careers@tcs.com,"Manage cloud infrastructure for our financial services clients. Health insurance 401k paid time off annual leave competitive salary equity and career growth. Agile environment with sprint reviews.","4+ years AWS Kubernetes Docker CI/CD."
Crypto Trading Agent,BitFast,,earn $ 10000 week,trade@gmail.com,"Urgent hiring — immediate start. No experience required. Work from home. Earn $ 10000 per week guaranteed. No interview needed. Pay registration fee of $50 via bitcoin to activate. WhatsApp only contact. Uncapped earnings.","No skills needed training provided free."
Backend Engineer,Wipro,Hyderabad India,$88000/year,hiring@wipro.com,"Build microservices for our banking platform. Competitive salary health insurance paid time off mentorship annual leave performance review team collaboration agile sprints.","4+ years Java Spring Boot microservices."
Home Based Data Entry,WorkFromHomePro,home only,$300 per day,wfh@gmail.com,"Earn $ 300 per day from home. No experience required. Same day pay. No interview. Whatsapp only for registration. Training provided free. Send money deposit to begin. Immediate start.","No skills needed."
QA Engineer,HCL Technologies,Noida India,$78000/year,qa@hcl.com,"Test enterprise applications for our global clients. Benefits health insurance 401k paid time off career growth annual leave competitive salary. Agile team with sprint-based testing.","3+ years QA Selenium JIRA test automation."
