title,company,description,requirements,salary,location,email,has_company_logo,has_questions,telecommuting,fraudulent
Senior Software Engineer,TCS,"Exciting opportunity for a Senior Software Engineer at TCS. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","5+ years of experience in Kotlin, Android, Firebase. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$150,000/year","Pune, India",careers@tcs.com,1,1,0,0
Full Stack Developer,IBM Corporation,"IBM Corporation is seeking a talented Full Stack Developer for our Pune, India office. The ideal candidate will have experience in Python, Django, PostgreSQL. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Python, Django, PostgreSQL. Leadership experience preferred. Strong written and verbal communication.","$86,000/year","Pune, India",careers@ibm.com,1,1,0,0
Project Manager,Google LLC,"Google LLC is seeking a talented Project Manager for our San Francisco, CA office. The ideal candidate will have experience in Python, Django, PostgreSQL. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","5+ years of experience in Python, Django, PostgreSQL. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$139,000/year","San Francisco, CA",careers@google.com,1,0,0,0
Senior Software Engineer,Adobe Systems,"We're hiring a Senior Software Engineer to help us build scalable microservices. This role involves building ML models for production. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","2+ years relevant experience. Knowledge of Java, Spring Boot, AWS. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$191,000/year","Hybrid - San Jose, CA",careers@adobe.com,1,1,0,0
Project Manager,Infosys Limited,"Exciting opportunity for a Project Manager at Infosys Limited. Work on cutting-edge ML pipelines with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","7+ years of industry experience. Expert knowledge of Python, TensorFlow, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$62,000/year","Chicago, IL",careers@infosys.com,1,1,0,0
Mobile Developer,TCS,"We're hiring a Mobile Developer to help us build data platform. This role involves designing and implementing scalable systems. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","7+ years of industry experience. Expert knowledge of Python, TensorFlow, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$69,000/year",Singapore,careers@tcs.com,1,1,0,0
Project Manager,Microsoft Corporation,"We're hiring a Project Manager to help us build cloud infrastructure. This role involves designing and implementing scalable systems. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","Bachelor's or Master's degree required. 4+ years in Python, Django, PostgreSQL. Strong analytical and problem-solving abilities. Team player.","$161,000/year","Hyderabad, India",careers@microsoft.com,1,1,0,0
QA Engineer,Spotify Technology,"Exciting opportunity for a QA Engineer at Spotify Technology. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","Bachelor's or Master's degree required. 4+ years in Ruby on Rails, Redis, PostgreSQL. Strong analytical and problem-solving abilities. Team player.","$172,000/year","Austin, TX",careers@spotify.com,1,1,0,0
Backend Developer,IBM Corporation,"Join our growing engineering team as a Backend Developer. You'll be responsible for optimizing system performance and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","5+ years of experience in C++, Linux, Embedded Systems. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$184,000/year","Berlin, Germany",careers@ibm.com,1,1,0,0
Machine Learning Engineer,Netflix Inc,"We are looking for an experienced Machine Learning Engineer to join our product team. You will work on mobile applications using Ruby on Rails, Redis, PostgreSQL. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in Ruby on Rails, Redis, PostgreSQL. Strong analytical and problem-solving abilities. Team player.","$147,000/year","Hyderabad, India",careers@netflix.com,1,1,0,0
